平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
19.45,19.82,1.08,-0.98,0.03,0.43,0.47,5.16,1.30
26.78,31.95,1.58,-1.28,0.20,0.44,0.52,15.12,1.69
10.17,29.33,2.93,-1.23,0.71,0.20,0.44,12.94,3.65
2.76,10.20,0.75,-0.90,0.95,0.30,0.22,3.11,0.77
14.05,14.85,1.52,-0.80,0.15,0.42,0.50,2.62,1.26
24.51,25.92,1.03,-0.80,0.08,0.42,0.50,7.98,1.69
26.06,26.58,0.89,-1.30,0.03,0.59,0.39,8.69,1.54
11.22,35.15,1.86,-2.23,0.68,0.18,0.14,17.35,1.53
26.75,30.97,1.46,-1.29,0.14,0.41,0.44,12.32,1.75
14.97,26.63,1.35,-1.03,0.44,0.26,0.29,13.70,1.34
17.66,21.13,2.69,-2.28,0.24,0.50,0.50,7.74,3.31
3.63,18.14,3.21,-1.40,0.80,0.13,0.13,7.34,1.74
28.44,28.73,1.58,-1.72,0.01,0.61,0.35,9.29,1.89
6.78,16.07,1.36,-0.69,0.58,0.19,0.22,8.34,1.02
8.57,14.34,1.73,-1.17,0.58,0.43,0.57,5.77,1.83
12.75,13.47,1.75,-1.40,0.17,0.45,0.55,2.83,2.01
6.48,17.84,1.48,-1.19,0.67,0.22,0.22,8.37,1.30
11.50,12.65,2.10,0.0,0.33,1.00,0.00,2.13,0.85
28.56,33.55,1.14,-1.22,0.16,0.52,0.30,13.46,1.47
20.56,27.35,1.47,-1.04,0.25,0.36,0.41,13.79,1.52
1.99,13.59,2.53,-1.26,0.87,0.08,0.11,4.75,1.38
15.75,16.32,1.57,0.0,0.08,0.91,0.00,5.03,1.13
10.56,25.23,2.79,-3.63,0.58,0.29,0.14,13.36,2.92
16.06,35.15,2.27,-1.90,0.54,0.21,0.22,18.15,2.78
26.25,38.60,1.54,-1.49,0.32,0.44,0.25,19.45,2.13
3.79,10.45,1.31,-1.06,0.92,0.42,0.33,3.38,1.65
7.43,16.65,2.68,-1.83,0.61,0.26,0.36,7.84,2.68
8.21,10.35,1.32,-1.50,0.75,0.57,0.43,2.01,1.70
17.65,18.25,0.79,-0.76,0.07,0.44,0.42,4.24,0.92
22.47,36.10,1.28,-1.45,0.39,0.34,0.26,18.29,1.49
18.48,25.47,1.31,-1.07,0.29,0.35,0.39,12.33,1.57
7.29,15.14,1.06,-0.85,0.66,0.43,0.43,6.16,1.19
2.27,10.27,1.03,-0.94,0.98,0.18,0.17,3.28,0.86
1.59,10.10,1.40,-0.96,0.99,0.15,0.21,2.55,0.91
10.00,10.95,3.10,-1.20,0.50,0.33,0.67,1.31,2.50
10.15,10.75,0.57,0.0,0.50,1.00,0.00,0.75,0.12
10.71,11.08,0.83,-0.80,0.29,0.67,0.33,0.89,1.15
10.33,11.07,1.33,0.0,0.25,1.00,0.00,1.71,0.49
9.65,10.80,2.30,0.0,0.50,1.00,0.00,1.63,0.00
12.58,12.74,0.91,-0.97,0.05,0.61,0.33,1.61,1.20
14.77,37.34,2.64,-3.48,0.60,0.20,0.14,19.22,4.59
19.13,35.79,1.17,-1.31,0.47,0.34,0.28,19.02,1.39
28.86,33.72,1.34,-1.51,0.15,0.45,0.38,13.46,2.20
32.15,32.93,1.08,-0.99,0.02,0.45,0.47,9.00,2.67
7.52,10.15,1.30,-0.91,0.79,0.44,0.56,2.05,1.51
18.28,30.25,1.17,-1.26,0.43,0.39,0.34,15.24,1.48
11.75,15.94,1.25,-0.97,0.36,0.47,0.44,6.25,1.43
9.55,14.23,1.32,-1.96,0.45,0.63,0.26,6.15,2.47
8.75,10.48,0.96,-0.90,0.54,0.42,0.33,1.96,1.20
13.62,19.14,1.13,-0.87,0.44,0.61,0.29,7.03,1.22
4.85,25.81,2.42,-2.19,0.81,0.13,0.06,10.20,1.51
30.81,31.53,1.61,-3.41,0.03,0.65,0.26,8.30,3.80
39.41,40.29,2.21,-1.07,0.03,0.37,0.35,6.94,3.89
30.83,38.00,22.90,-29.30,0.19,0.12,0.04,16.06,11.10
20.37,45.17,2.49,-0.57,0.55,0.11,0.03,23.31,1.11
49.80,50.89,1.73,-1.39,0.02,0.51,0.18,12.90,2.25
50.03,50.59,1.22,-0.90,0.01,0.49,0.32,10.11,1.68
25.30,50.50,25.25,0.0,0.50,0.67,0.00,29.10,28.98
33.52,42.71,1.43,-1.54,0.22,0.40,0.33,20.06,2.83
45.27,48.68,0.90,-1.49,0.07,0.50,0.29,15.34,2.89
29.18,43.52,1.34,-1.36,0.33,0.33,0.31,23.22,1.63
21.20,29.13,2.89,-1.13,0.29,0.26,0.63,14.35,3.58
2.64,10.65,1.01,-1.10,0.97,0.31,0.27,2.75,1.43
12.77,13.09,1.60,-1.53,0.10,0.44,0.44,1.55,1.79
37.99,41.69,1.41,-2.39,0.09,0.58,0.34,17.61,2.48
2.36,10.10,2.52,-1.24,0.95,0.21,0.26,3.34,1.46
38.13,44.67,1.11,-1.60,0.15,0.49,0.32,20.98,1.77
16.13,26.38,3.35,-3.47,0.42,0.44,0.40,13.46,5.64
46.09,47.05,1.07,-1.29,0.02,0.52,0.38,13.65,1.53
24.61,35.34,1.75,-2.18,0.31,0.41,0.30,17.85,2.25
16.95,32.90,1.56,-1.08,0.49,0.45,0.08,17.39,1.33
47.00,54.08,0.97,-1.19,0.13,0.45,0.34,22.90,1.82
21.65,22.02,1.37,-1.50,0.03,0.49,0.43,6.36,1.73
9.81,24.01,2.58,-1.96,0.59,0.21,0.21,12.29,1.98
28.94,36.22,1.25,-1.34,0.21,0.43,0.39,16.05,1.49
24.54,32.29,2.11,-1.80,0.26,0.37,0.42,15.15,2.22
10.15,30.35,2.21,-2.35,0.67,0.20,0.17,14.83,1.70
9.92,16.43,4.54,-1.83,0.42,0.22,0.47,8.37,4.44
11.24,33.73,36.40,-3.10,0.67,0.12,0.25,16.94,13.27
13.57,35.74,2.44,-1.43,0.62,0.26,0.12,17.91,1.74
0.88,10.70,3.42,-1.96,0.99,0.07,0.06,2.49,1.20
31.12,31.77,2.21,-1.59,0.03,0.41,0.49,8.00,2.65
24.97,36.34,2.10,-2.35,0.31,0.39,0.30,18.74,3.34
7.47,14.48,2.83,-4.50,0.55,0.60,0.20,7.37,4.49
4.11,28.10,2.47,-0.88,0.85,0.09,0.05,10.18,1.13
1.95,12.26,4.10,-1.90,0.84,0.09,0.07,4.57,1.91
5.47,14.30,4.83,-2.67,0.88,0.43,0.43,5.03,6.07
4.83,10.55,1.85,-4.90,0.78,0.75,0.12,4.73,3.33
18.94,34.20,1.29,-1.79,0.46,0.38,0.26,17.47,1.79
17.79,23.37,2.95,-2.23,0.26,0.42,0.46,10.94,3.03
18.24,24.60,2.34,-1.71,0.27,0.43,0.39,12.54,2.61
15.32,17.11,1.50,-1.88,0.19,0.58,0.39,5.93,2.14
4.82,11.69,1.93,-1.39,0.78,0.29,0.35,4.75,1.63
10.40,10.90,1.00,0.0,0.50,1.00,0.00,0.71,0.00
5.99,24.46,2.37,-1.70,0.78,0.12,0.16,10.49,1.56
10.57,12.28,3.50,-0.93,0.33,0.40,0.60,2.93,2.49
12.74,29.11,1.67,-1.45,0.57,0.22,0.24,15.40,1.33
25.06,30.97,2.18,-1.73,0.19,0.35,0.44,15.41,3.23
9.91,35.57,4.57,-1.87,0.73,0.11,0.23,15.97,3.59
1.81,16.87,2.43,-2.12,0.90,0.06,0.06,5.30,1.13
20.61,21.93,3.63,-4.43,0.10,0.67,0.33,5.31,5.15
0.43,12.20,4.20,-1.33,0.97,0.08,0.08,2.05,2.11
16.49,16.90,2.18,-1.90,0.05,0.48,0.43,3.22,2.50
17.11,19.16,2.50,-2.65,0.20,0.57,0.43,5.88,3.02
21.31,41.47,1.73,-1.98,0.49,0.28,0.23,22.06,1.96
29.44,35.24,1.65,-1.81,0.17,0.48,0.40,17.18,2.39
1.04,11.00,5.50,-2.10,0.97,0.06,0.13,2.85,1.91
18.78,19.08,1.61,-2.01,0.03,0.59,0.38,3.50,2.38
13.00,18.03,2.97,-2.32,0.31,0.36,0.43,9.25,3.48
12.97,13.57,1.36,-1.30,0.12,0.71,0.29,2.12,1.91
0.55,14.03,15.50,-3.40,0.97,0.01,0.04,2.60,1.74
7.62,11.05,2.13,-1.15,0.67,0.60,0.40,2.72,2.60
27.50,28.94,2.99,-3.08,0.07,0.52,0.46,8.48,4.11
1.24,11.15,6.30,-1.48,0.93,0.07,0.21,3.10,2.55
11.34,12.11,1.26,-0.96,0.21,0.38,0.38,1.85,1.18
7.77,19.60,3.10,-2.69,0.66,0.32,0.29,9.47,2.90
12.84,17.33,1.19,-1.34,0.32,0.51,0.38,7.38,1.74
1.12,10.10,2.02,-1.67,0.99,0.10,0.12,2.49,1.09
28.19,31.55,1.20,-1.46,0.13,0.56,0.42,11.05,1.88
12.62,36.65,1.62,-2.58,0.67,0.24,0.14,18.37,1.78
25.55,31.83,1.68,-1.43,0.20,0.39,0.41,14.76,2.18
27.22,30.52,1.51,-1.17,0.11,0.67,0.26,13.86,2.27
5.94,29.60,2.42,-3.19,0.80,0.15,0.06,12.34,1.53
6.96,13.54,2.11,-3.38,0.57,0.38,0.21,6.76,2.57
11.58,19.05,1.81,-2.61,0.45,0.50,0.32,9.56,2.72
18.76,39.62,2.14,-1.16,0.53,0.17,0.29,20.14,3.17
9.72,23.99,1.88,-2.51,0.60,0.26,0.17,12.68,2.03
0.60,10.88,2.90,-1.90,0.96,0.04,0.05,2.41,1.24
7.34,10.97,1.44,-1.60,0.77,0.58,0.42,2.81,1.91
15.59,16.14,1.73,-2.10,0.08,0.55,0.36,3.35,2.32
10.24,15.36,2.35,-1.44,0.41,0.33,0.47,7.01,2.31
11.47,12.50,4.00,-1.80,0.33,0.50,0.50,2.00,4.10
8.33,11.47,1.07,-1.52,0.67,0.64,0.36,2.81,1.59
17.61,28.68,1.46,-1.43,0.42,0.34,0.34,14.29,1.63
11.89,26.13,1.72,-1.85,0.56,0.24,0.22,13.38,1.67
9.90,26.40,2.64,-3.18,0.63,0.25,0.17,13.52,2.91
7.01,12.50,1.29,-0.50,0.80,0.78,0.11,3.11,1.27
12.08,12.90,2.00,-2.00,0.25,0.67,0.33,1.89,2.99
9.87,12.00,1.86,-1.67,0.45,0.50,0.40,2.81,1.96
21.11,23.55,1.82,-1.90,0.16,0.54,0.29,6.43,2.60
27.27,28.12,2.14,-2.86,0.05,0.67,0.33,8.45,3.76
5.32,16.98,2.31,-2.31,0.72,0.20,0.16,7.85,1.93
1.50,17.95,4.88,-2.83,0.93,0.07,0.05,4.69,1.77
1.86,21.43,1.60,-1.61,0.93,0.09,0.07,5.77,0.82
11.60,22.05,2.22,-2.03,0.50,0.30,0.31,11.25,2.07
7.95,21.26,3.24,-1.71,0.65,0.15,0.27,10.22,2.09
25.36,30.58,1.36,-1.70,0.17,0.45,0.32,13.27,1.84
18.34,29.41,1.64,-2.00,0.38,0.35,0.28,15.63,1.99
7.39,10.10,1.67,-1.23,0.86,0.50,0.50,1.76,1.71
2.61,23.57,1.33,-1.07,0.90,0.09,0.04,7.52,0.70
1.97,13.24,1.87,-1.53,0.90,0.17,0.11,4.21,1.18
9.33,11.87,2.63,-2.07,0.57,0.50,0.50,2.75,2.69
0.96,12.73,2.29,-2.33,0.98,0.07,0.06,2.80,1.23
11.32,13.70,1.67,-1.80,0.50,0.80,0.20,2.76,1.89
8.37,21.98,1.70,-2.33,0.62,0.23,0.16,11.26,1.63
9.00,13.80,2.32,-1.74,0.58,0.55,0.45,4.64,2.46
0.85,14.90,4.35,-1.86,0.98,0.08,0.10,2.67,1.67
32.49,32.60,1.29,-2.07,0.01,0.59,0.35,9.83,2.61
23.52,31.04,1.18,-0.34,0.24,0.41,0.24,14.56,1.13
25.99,31.14,1.13,-1.64,0.17,0.55,0.34,13.32,1.98
0.53,10.30,3.43,-6.20,0.98,0.04,0.01,2.14,1.09
24.68,24.81,0.72,-1.24,0.01,0.59,0.34,6.37,1.29
2.93,18.51,2.05,-0.79,0.85,0.06,0.13,6.73,0.77
9.95,10.30,0.70,0.0,0.50,1.00,0.00,0.49,0.00
18.66,19.11,0.82,-3.50,0.05,0.85,0.15,5.01,2.01
10.31,17.25,2.96,-2.94,0.47,0.50,0.36,8.36,3.61
10.43,13.58,0.86,-1.16,0.45,0.58,0.26,3.74,1.14
10.22,10.43,1.10,-0.30,0.25,0.33,0.67,0.49,0.81
4.44,12.97,2.09,-1.19,0.70,0.14,0.22,5.99,1.62
9.50,10.80,1.30,-1.20,0.75,0.67,0.33,1.06,1.45
14.16,14.52,1.08,-1.01,0.07,0.50,0.42,1.97,1.30
34.78,37.08,0.74,-0.51,0.08,0.60,0.30,11.00,0.80
6.25,18.65,3.12,-1.56,0.67,0.20,0.20,9.13,2.09
10.40,23.18,2.63,-3.23,0.57,0.26,0.21,13.11,2.53
20.87,22.46,2.29,-0.90,0.09,0.29,0.66,9.77,3.69
7.89,11.77,1.62,-0.72,0.79,0.38,0.46,2.41,1.25
10.84,12.10,1.67,-1.30,0.43,0.50,0.50,1.78,1.71
10.69,24.39,1.18,-0.98,0.58,0.21,0.24,12.71,1.03
17.00,18.67,1.48,-1.52,0.09,0.51,0.40,7.41,2.03
7.59,17.30,1.09,-0.85,0.66,0.35,0.29,7.73,1.20
22.45,23.29,0.91,-1.08,0.04,0.57,0.32,7.32,1.57
1.40,11.13,2.92,-2.90,0.93,0.10,0.07,3.34,1.37
8.39,10.30,0.88,-0.60,0.67,0.50,0.25,1.49,0.85
33.60,34.81,0.73,-0.98,0.04,0.50,0.37,9.62,1.24
35.10,35.38,0.71,-1.00,0.01,0.52,0.35,7.96,1.72
57.44,61.31,0.96,-1.06,0.07,0.43,0.38,27.41,1.75
processed_data/file3_fragments/fragment1.csv,23.81,32.63,1.87,-2.07,0.27,0.37,0.34,18.14,2.37
processed_data/file3_fragments/fragment2.csv,12.02,23.51,1.81,-1.77,0.50,0.27,0.27,12.87,1.99
processed_data/file3_fragments/fragment3.csv,7.82,31.79,1.74,-1.82,0.75,0.12,0.12,14.37,1.57
processed_data/file3_fragments/fragment4.csv,11.49,26.21,2.67,-3.61,0.58,0.28,0.21,13.65,3.04
processed_data/file3_fragments/fragment5.csv,2.24,15.03,2.52,-2.02,0.85,0.07,0.09,5.43,1.74
processed_data/file3_fragments/fragment6.csv,15.26,36.34,1.69,-2.54,0.58,0.25,0.17,19.77,3.07
processed_data/file3_fragments/fragment7.csv,17.81,35.49,3.49,-2.15,0.51,0.20,0.32,19.97,3.96
processed_data/file3_fragments/fragment8.csv,18.13,20.84,1.74,-1.74,0.13,0.44,0.44,8.61,2.75
processed_data/file3_fragments/fragment9.csv,18.84,29.78,1.85,-1.71,0.37,0.29,0.32,15.64,2.22
processed_data/file3_fragments/fragment10.csv,20.48,26.06,1.47,-3.04,0.25,0.62,0.30,11.81,4.32
processed_data/file3_fragments/fragment11.csv,9.20,32.65,1.86,-2.67,0.72,0.16,0.11,15.37,2.11
processed_data/file3_fragments/fragment12.csv,8.23,20.41,2.62,-3.55,0.67,0.31,0.23,9.52,3.98
processed_data/file3_fragments/fragment13.csv,2.30,26.89,3.59,-5.98,0.91,0.06,0.03,7.80,1.92
processed_data/file3_fragments/fragment14.csv,10.23,24.40,10.17,-1.61,0.59,0.07,0.44,12.61,4.78
processed_data/file3_fragments/fragment15.csv,4.55,12.50,7.35,-4.90,0.64,0.20,0.30,6.41,5.34
processed_data/file3_fragments/fragment16.csv,1.18,12.78,6.50,-3.25,0.93,0.04,0.08,3.58,2.02
processed_data/file3_fragments/fragment17.csv,0.38,nan,1.50,-1.50,1.00,0.33,0.33,0.75,1.50
processed_data/file3_fragments/fragment18.csv,0.97,10.70,5.35,-10.70,0.94,0.12,0.06,2.87,3.39
processed_data/file3_fragments/fragment19.csv,14.79,24.94,1.85,-2.09,0.41,0.31,0.27,13.02,2.42
processed_data/file3_fragments/fragment20.csv,8.17,21.55,1.52,-1.71,0.62,0.20,0.18,10.85,1.58
processed_data/file3_fragments/fragment21.csv,17.62,20.69,1.33,-1.24,0.17,0.41,0.44,9.46,1.79
processed_data/file3_fragments/fragment22.csv,9.91,27.96,1.56,-2.64,0.65,0.20,0.12,13.79,2.19
processed_data/file3_fragments/fragment23.csv,3.28,13.06,1.98,-2.15,0.79,0.14,0.13,5.44,1.93
processed_data/file3_fragments/fragment24.csv,33.58,41.03,0.64,-1.05,0.19,0.46,0.29,18.99,1.24
processed_data/file3_fragments/fragment25.csv,24.53,26.06,0.99,-1.03,0.06,0.46,0.45,7.27,1.55
processed_data/file3_fragments/fragment26.csv,11.30,24.76,1.19,-1.52,0.55,0.25,0.20,12.90,1.44
processed_data/file3_fragments/fragment27.csv,23.11,27.39,1.88,-1.37,0.16,0.34,0.46,12.13,2.45
processed_data/file3_fragments/fragment28.csv,21.83,28.00,1.28,-1.93,0.23,0.43,0.29,13.80,2.12
processed_data/file3_fragments/fragment29.csv,25.01,42.16,0.86,-1.16,0.41,0.29,0.22,21.91,1.32
processed_data/file3_fragments/fragment30.csv,33.53,46.14,0.90,-2.15,0.27,0.46,0.19,22.82,1.84
processed_data/file3_fragments/fragment31.csv,34.65,40.08,1.44,-1.23,0.14,0.39,0.46,17.94,2.84
processed_data/file3_fragments/fragment32.csv,12.71,27.43,3.49,-1.59,0.57,0.17,0.38,13.97,4.16
processed_data/file3_fragments/fragment33.csv,22.42,46.25,9.67,-2.32,0.52,0.09,0.38,25.55,6.44
processed_data/file3_fragments/fragment34.csv,32.10,54.73,1.14,-1.56,0.41,0.32,0.24,30.33,1.54
processed_data/file3_fragments/fragment35.csv,46.66,49.08,0.98,-1.20,0.05,0.48,0.39,16.84,1.56
processed_data/file3_fragments/fragment36.csv,23.20,25.96,1.49,-2.53,0.12,0.57,0.34,11.39,2.93
processed_data/file3_fragments/fragment37.csv,17.32,25.82,1.48,-1.59,0.34,0.35,0.32,13.67,2.30
processed_data/file3_fragments/fragment38.csv,20.67,28.42,1.32,-2.06,0.29,0.45,0.29,17.44,3.19
processed_data/file3_fragments/fragment39.csv,4.88,15.57,1.55,-1.50,0.75,0.18,0.19,7.13,1.62
processed_data/file3_fragments/fragment40.csv,5.71,13.48,2.06,-2.06,0.60,0.23,0.23,6.69,2.43
processed_data/file3_fragments/fragment41.csv,11.55,21.23,1.13,-1.03,0.46,0.25,0.27,10.79,1.41
processed_data/file3_fragments/fragment42.csv,0.10,nan,0.20,-0.40,1.00,0.40,0.20,0.17,0.24
processed_data/file3_fragments/fragment43.csv,3.51,nan,3.55,-2.37,1.00,0.33,0.50,3.38,3.70
processed_data/file3_fragments/fragment44.csv,17.32,19.97,1.78,-0.97,0.18,0.31,0.56,7.55,2.24
processed_data/file3_fragments/fragment45.csv,17.05,24.91,1.13,-1.49,0.33,0.37,0.28,12.62,1.81
processed_data/file3_fragments/fragment46.csv,5.02,19.04,2.42,-2.69,0.74,0.14,0.13,8.73,2.11
processed_data/file3_fragments/fragment47.csv,15.61,24.85,1.57,-1.44,0.38,0.30,0.33,13.04,2.05
processed_data/file3_fragments/fragment48.csv,6.92,17.73,2.96,-2.96,0.62,0.21,0.21,9.02,2.71
processed_data/file3_fragments/fragment49.csv,25.64,29.78,2.31,-2.93,0.15,0.51,0.40,11.87,3.77
processed_data/file3_fragments/fragment50.csv,2.76,22.21,5.38,-4.04,0.88,0.07,0.10,7.62,2.27
processed_data/file3_fragments/fragment51.csv,31.55,36.27,1.16,-2.07,0.14,0.57,0.32,14.47,2.43
processed_data/file3_fragments/fragment52.csv,2.36,12.05,1.39,-1.77,0.90,0.13,0.11,4.24,1.63
processed_data/file3_fragments/fragment53.csv,83.73,87.74,0.67,-0.91,0.05,0.47,0.35,25.08,2.56
processed_data/file3_fragments/fragment54.csv,11.10,28.73,1.87,-1.93,0.61,0.19,0.19,15.38,2.00
processed_data/file3_fragments/fragment55.csv,19.07,37.35,1.90,-4.25,0.49,0.38,0.17,21.05,2.54
processed_data/file3_fragments/fragment56.csv,0.08,nan,0.20,-0.10,1.00,0.20,0.40,0.10,0.12
processed_data/file3_fragments/fragment57.csv,41.11,44.76,1.76,-2.26,0.08,0.53,0.41,18.21,2.77
processed_data/file3_fragments/fragment58.csv,22.10,25.23,2.10,-2.15,0.14,0.46,0.45,10.69,2.99
processed_data/file3_fragments/fragment59.csv,2.72,21.26,5.44,-3.89,0.87,0.06,0.08,7.37,2.66
processed_data/file3_fragments/fragment60.csv,16.53,29.38,2.38,-2.77,0.46,0.35,0.30,15.91,3.24
processed_data/file3_fragments/fragment61.csv,16.86,23.29,2.12,-1.79,0.28,0.32,0.37,13.10,2.50
processed_data/file3_fragments/fragment62.csv,10.27,38.38,1.72,-2.19,0.73,0.15,0.12,18.66,1.48
processed_data/file3_fragments/fragment63.csv,57.70,61.56,1.32,-1.38,0.06,0.44,0.42,21.53,2.07
processed_data/file3_fragments/fragment64.csv,92.01,92.69,0.65,-0.71,0.01,0.44,0.41,24.62,2.63
processed_data/file3_fragments/fragment65.csv,9.78,32.76,1.79,-1.86,0.70,0.15,0.14,15.89,1.41
processed_data/file3_fragments/fragment66.csv,10.28,18.04,1.59,-1.45,0.47,0.27,0.29,9.13,2.17
processed_data/file3_fragments/fragment67.csv,7.13,22.30,2.22,-1.76,0.70,0.16,0.20,10.64,1.92
processed_data/file3_fragments/fragment68.csv,16.56,35.83,1.69,-2.80,0.55,0.30,0.18,19.76,2.13
processed_data/file3_fragments/fragment69.csv,14.22,39.58,3.94,-4.81,0.64,0.17,0.14,19.26,6.38
processed_data/file3_fragments/fragment70.csv,31.38,38.50,1.61,-1.23,0.19,0.34,0.45,17.15,2.06
processed_data/file3_fragments/fragment71.csv,1.81,12.65,4.57,-6.85,0.86,0.11,0.07,4.52,3.30
processed_data/file3_fragments/fragment72.csv,8.61,16.50,1.15,-1.18,0.48,0.24,0.23,8.40,1.81
processed_data/file3_fragments/fragment73.csv,1.39,15.30,6.20,-18.60,0.91,0.09,0.03,4.55,4.04
processed_data/file3_fragments/fragment74.csv,19.34,32.23,11.50,-34.50,0.40,0.75,0.25,17.75,26.26
processed_data/file3_fragments/fragment75.csv,37.44,38.81,2.04,-2.87,0.04,0.55,0.39,17.44,3.50
processed_data/file3_fragments/fragment76.csv,2.84,11.25,3.90,-3.90,0.79,0.17,0.17,4.91,3.41
processed_data/file3_fragments/fragment77.csv,3.47,33.46,19.85,-2.48,0.90,0.00,0.03,10.25,2.10
processed_data/file3_fragments/fragment78.csv,36.42,38.07,2.20,-2.70,0.05,0.39,0.31,10.45,3.78
processed_data/file3_fragments/fragment79.csv,30.91,35.29,2.36,-4.93,0.13,0.43,0.21,13.40,5.44
processed_data/file3_fragments/fragment80.csv,55.19,56.19,1.21,-1.75,0.02,0.43,0.30,18.52,2.26
processed_data/file3_fragments/fragment81.csv,22.54,23.64,5.32,-6.17,0.05,0.22,0.19,7.63,5.76
processed_data/file3_fragments/fragment82.csv,20.45,30.12,1.86,-1.86,0.32,0.31,0.31,16.00,2.68
processed_data/file3_fragments/fragment83.csv,4.69,15.70,1.81,-1.33,0.71,0.14,0.20,7.25,1.56
processed_data/file3_fragments/fragment84.csv,39.42,42.74,1.89,-2.47,0.08,0.52,0.40,15.72,3.85
processed_data/file3_fragments/fragment85.csv,24.66,33.04,1.87,-2.40,0.26,0.44,0.34,17.31,2.74
processed_data/file3_fragments/fragment86.csv,21.83,36.70,1.78,-1.61,0.41,0.25,0.28,19.44,2.23
processed_data/file3_fragments/fragment87.csv,18.48,31.18,2.33,-10.48,0.41,0.51,0.11,16.97,5.13
processed_data/file3_fragments/fragment88.csv,16.55,30.56,2.22,-2.14,0.46,0.27,0.28,16.99,2.44
processed_data/file3_fragments/fragment89.csv,6.48,27.76,2.49,-3.94,0.77,0.14,0.09,12.46,2.16
processed_data/file3_fragments/fragment90.csv,20.14,38.69,1.65,-1.93,0.48,0.27,0.23,21.38,2.03
processed_data/file3_fragments/fragment91.csv,26.18,30.89,2.01,-2.23,0.16,0.45,0.41,15.33,2.81
processed_data/file3_fragments/fragment92.csv,19.45,26.54,1.61,-1.92,0.27,0.38,0.32,13.13,2.24
processed_data/file3_fragments/fragment93.csv,1.72,12.05,6.65,-4.43,0.86,0.07,0.11,4.32,3.28
processed_data/file3_fragments/fragment94.csv,3.73,13.08,2.93,-2.56,0.74,0.15,0.17,5.97,2.50
processed_data/file3_fragments/fragment95.csv,16.99,28.22,2.41,-2.78,0.40,0.33,0.28,14.93,4.24
processed_data/file3_fragments/fragment96.csv,1.18,14.39,2.60,-4.55,0.92,0.06,0.03,4.05,1.46
processed_data/file3_fragments/fragment97.csv,2.52,22.79,2.48,-4.24,0.89,0.07,0.04,7.40,1.53
processed_data/file3_fragments/fragment98.csv,1.68,16.98,3.09,-5.40,0.90,0.07,0.04,5.22,1.81
processed_data/file3_fragments/fragment99.csv,31.39,38.95,1.85,-1.83,0.20,0.39,0.39,20.75,2.34
processed_data/file3_fragments/fragment100.csv,11.19,24.91,2.16,-2.00,0.56,0.22,0.23,13.13,1.91
processed_data/file3_fragments/fragment101.csv,0.03,nan,0.10,-0.10,1.00,0.33,0.33,0.05,0.10
processed_data/file3_fragments/fragment102.csv,2.05,10.10,2.52,-10.10,0.89,0.24,0.06,3.90,3.05
processed_data/file3_fragments/fragment103.csv,15.23,33.64,3.87,-2.58,0.55,0.18,0.26,19.04,4.17
processed_data/file3_fragments/fragment104.csv,26.98,29.98,1.21,-1.53,0.11,0.47,0.37,11.11,1.87
processed_data/file3_fragments/fragment105.csv,18.04,23.18,2.05,-1.87,0.23,0.36,0.39,11.00,2.63
processed_data/file3_fragments/fragment106.csv,18.30,22.25,1.33,-1.67,0.18,0.43,0.34,11.87,3.19
processed_data/file3_fragments/fragment107.csv,16.77,23.14,1.46,-1.98,0.37,0.49,0.36,11.58,2.31
processed_data/file3_fragments/fragment108.csv,6.97,28.42,0.89,-1.18,0.76,0.12,0.09,12.60,0.83
processed_data/file3_fragments/fragment109.csv,22.03,24.47,1.40,-1.70,0.11,0.51,0.42,10.11,2.66
processed_data/file3_fragments/fragment110.csv,21.04,31.21,1.12,-1.46,0.33,0.34,0.26,16.03,1.79
processed_data/file3_fragments/fragment111.csv,22.73,32.81,1.58,-1.71,0.31,0.35,0.32,17.24,2.28
processed_data/file3_fragments/fragment112.csv,2.30,13.77,3.75,-2.50,0.83,0.07,0.10,5.21,2.19
processed_data/file3_fragments/fragment113.csv,23.60,33.85,1.03,-1.47,0.30,0.38,0.26,17.25,1.69
processed_data/file3_fragments/fragment114.csv,19.99,27.20,1.70,-1.83,0.28,0.38,0.36,14.21,2.18
processed_data/file3_fragments/fragment115.csv,18.70,25.55,1.47,-2.12,0.28,0.42,0.29,12.68,3.21
processed_data/file3_fragments/fragment116.csv,0.61,10.17,5.20,-1.73,0.96,0.03,0.08,2.24,1.29
processed_data/file3_fragments/fragment117.csv,0.12,nan,0.50,-0.50,1.00,0.33,0.33,0.25,0.50
processed_data/file3_fragments/fragment118.csv,17.54,19.58,1.17,-1.45,0.15,0.48,0.38,7.91,2.21
processed_data/file3_fragments/fragment119.csv,13.12,25.97,2.60,-1.82,0.50,0.20,0.29,13.70,3.69
processed_data/file3_fragments/fragment120.csv,1.72,14.75,2.29,-2.61,0.88,0.06,0.05,4.81,1.40
processed_data/file3_fragments/fragment121.csv,2.28,17.48,2.64,-2.07,0.88,0.06,0.08,5.98,1.48
processed_data/file3_fragments/fragment122.csv,9.55,28.04,2.18,-2.85,0.66,0.20,0.15,14.14,2.19
processed_data/file3_fragments/fragment123.csv,32.19,36.41,1.53,-2.56,0.13,0.58,0.35,16.23,2.57
processed_data/file3_fragments/fragment124.csv,7.93,24.43,2.31,-2.05,0.68,0.14,0.16,12.25,1.93
